Category	Spotlength	Recognitionmax	GRPmax	Budget
Finance	35	72%	395	237000
Finance	20	71%	860	516000
Finance	20	76%	860	516000
FMCG	30	34%	427	256200
FMCG	30	25%	505	303000
Finance	40	34%	219	131400
Finance	30	51%	222	133200
Finance	30	16%	14	8400
Finance	30	26%	56	33600
Finance	10	13%	17	10200
Finance	45	36%	133	79920
FMCG	30	51%	409	245400
FMCG	10	14%	592	355200
FMCG	15	47%	581	348600
FMCG	30	72%	502	301200
FMCG	35	61%	419	251400
FMCG	20	60%	551	330600
FMCG	40	53%	592	355200
FMCG	30	53%	360	216000
FMCG	25	58%	581	348600
Finance	35	18%	268	160800
Finance	20	10%	248	148800
Finance	35	15%	256	153600
Finance	35	15%	256	153600
Finance	35	27%	299	179400
Finance	20	34%	251	150600
FMCG	40	36%	570	342000
FMCG	40	52%	404	242520
FMCG	10	49%	404	242400
FMCG	40	54%	609	365400
FMCG	30	21%	243	145800
FMCG	30	49%	474	284400
FMCG	30	49%	382	229260
FMCG	15	18%	335	201000
FMCG	15	13%	568	340800
FMCG	20	33%	157	94200
FMCG	20	22%	328	196560
FMCG	15	41%	463	277800
FMCG	20	18%	167	100200
FMCG	10	15%	426	255600
FMCG	10	22%	441	264600
FMCG	30	59%	416	249600
FMCG	30	43%	281	168600
FMCG	25	32%	545	327000
FMCG	30	39%	450	270000
FMCG	30	22%	214	128400
FMCG	15	30%	203	121800
FMCG	25	44%	458	274800
FMCG	25	27%	305	183000
Telecom	30	75%	630	378000
Telecom	30	68%	861	516360
FMCG	15	49%	801	480600
FMCG	15	13%	237	142200
FMCG	20	39%	317	190200
FMCG	25	18%	480	288000
Finance	30	14%	71	42600
Finance	30	21%	169	101400
Telecom	30	45%	511	306600
FMCG	20	39%	416	249600
FMCG	45	70%	632	379200
FMCG	30	64%	620	372000
FMCG	20	31%	225	135000
FMCG	25	51%	262	157200
FMCG	20	50%	461	276600
FMCG	15	53%	541	324600
FMCG	30	73%	588	352800
FMCG	20	21%	354	212400
Finance	30	20%	267	160200
Finance	60	27%	459	275400
Finance	25	31%	277	166200
Telecom	25	22%	151	90600
Telecom	35	74%	150	90000
Automotive	30	56%	395	237000
Automotive	30	39%	407	244200
Automotive	20	33%	186	111600
Automotive	60	60%	469	281400
Automotive	30	56%	616	369300
Automotive	30	63%	401	240600
Automotive	20	32%	293	175800
Automotive	25	24%	333	199800
Automotive	60	73%	554	332400
Automotive	30	51%	366	219600
Automotive	30	31%	334	200400
Automotive	30	18%	158	94800
Automotive	25	24%	467	280200
FMCG	30	28%	451	270600
FMCG	45	70%	470	282000
FMCG	15	58%	389	233400
FMCG	30	60%	933	559800
FMCG	30	69%	639	383400
FMCG	30	63%	323	193800
FMCG	15	62%	371	222600
FMCG	15	80%	721	432600
FMCG	25	64%	344	206400
FMCG	30	80%	903	541800
FMCG	30	35%	203	121620
FMCG	30	47%	443	265800
Telecom	30	69%	432	259200
Telecom	30	84%	508	304800
Telecom	30	66%	389	233400
